date,count,value,site,site_code,month,par,region
2022-01-01,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-02,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-03,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-04,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-05,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-06,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-07,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-08,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-09,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-10,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-11,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-12,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-13,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-14,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-15,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-16,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-17,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-18,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-19,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-20,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-21,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-22,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-23,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-24,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-25,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-26,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-27,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-28,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-29,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-30,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-01-31,0,NA,ANH,(D12A)  Antioch,1,Fluorescence,Confluence
2022-02-01,0,NA,ANH,(D12A)  Antioch,2,Fluorescence,Confluence
